id,value
دستگاه,6453
دستگاه.شور,643634
دستگاه.شور.درآمد,6543656
دستگاه.شور.پنجه‌شعری,4
دستگاه.شور.کرشمه,2362
دستگاه.شور.رهاب,6
دستگاه.شور.اوج,7
دستگاه.شور.ملانازی,52
دستگاه.شور.نغمه‌ی‌ اول,9
دستگاه.شور.نغمه‌ی‌ دوم,25
دستگاه.شور.زیرکش‌ سلمک,11
دستگاه.شور.سلمک,52
دستگاه.شور.گلریز,13
دستگاه.شور.مجلس افروز,14
دستگاه.شور.عزال,15
دستگاه.شور.صفا,16
دستگاه.شور.بزرگ,17
دستگاه.شور.کوچک,18
دستگاه.شور.دوبیتی,525
دستگاه.شور.خارا,643223
دستگاه.شور.قجر,23464
دستگاه.شور.حزین,
دستگاه.شور.شور پایین دسته,
دستگاه.شور.رهاب,2625
دستگاه.شور.چهارگوشه,
دستگاه.شور.مقدمه‌ی گریلی,
دستگاه.شور.رضوی,
دستگاه.شور.شهناز,
دستگاه.شور.مقدمه‌ی قرچه,
دستگاه.شور.قرچه,
دستگاه.شور.شهناز کت یا عاشق‌کش,
دستگاه.شور.گریلی,
دستگاه.شور.گریلی شستی,
دستگاه.شور.رنگ هشتری,
دستگاه.شور.رنگ شهرآشوب,
دستگاه.شور.رنگ ضرب اصول,
دستگاه.شور | بیات کرد,
دستگاه.شور | بیات کرد.درآمد اول,
دستگاه.شور | بیات کرد.درآمد دوم,
دستگاه.شور | بیات کرد.بسته‌نگار,
دستگاه.شور | بیات کرد.حاجی حسینی,
دستگاه.شور | بیات کرد.درآمد سوم,
دستگاه.شور | بیات کرد.درآمد چهارم,
دستگاه.شور | دشتی,
دستگاه.شور | دشتی.درآمد,
دستگاه.شور | دشتی.اوج,
دستگاه.شور | دشتی.بیدگانی,
دستگاه.شور | دشتی.حاجیانی,
دستگاه.شور | دشتی.غم‌انگیز,
دستگاه.شور | دشتی.گیلکی,
دستگاه.شور | بیات ترک,
دستگاه.شور | بیات ترک.درآمد,
دستگاه.شور | بیات ترک.دوگاه,
دستگاه.شور | بیات ترک.درآمد دوم,
دستگاه.شور | بیات ترک.درآمد سوم,
دستگاه.شور | بیات ترک.حاجی حسینی,
دستگاه.شور | بیات ترک.بسته‌نگار,
دستگاه.شور | بیات ترک.زنگوله,
دستگاه.شور | بیات ترک.خسروانی,
دستگاه.شور | بیات ترک.نغمه,
دستگاه.شور | بیات ترک.فیلی,
دستگاه.شور | بیات ترک.شکسته,
دستگاه.شور | بیات ترک.مهربانی,
دستگاه.شور | بیات ترک.جامه‌دران,
دستگاه.شور | بیات ترک.مهدی‌ضرابی,
